,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
39,ayna,0,ES,1547517600,92,38.55,-2.07,30.2,6.93
40,tessalit,0,ML,1547521348,43,20.2,1.01,38.41,4.05
41,taoudenni,0,ML,1547521348,45,22.68,-3.98,38.23,5.61
42,sale,90,GB,1547520600,87,53.42,-2.32,46.4,5.82
43,waingapu,88,ID,1547521349,89,-9.65,120.26,80.98,6.51
44,lompoc,90,US,1547519700,87,34.64,-120.46,55.94,4.7
45,shieli,92,KZ,1547521349,96,44.18,66.74,35.44,4.61
46,fairbanks,1,US,1547517480,83,64.84,-147.72,-1.48,2.59
47,georgetown,40,GY,1547517600,83,6.8,-58.16,75.2,4.7
48,tiarei,75,PF,1547519400,70,-17.53,-149.33,86,13.87
49,klaksvik,48,FO,1547518800,75,62.23,-6.59,41,29.97
50,avarua,75,CK,1547517600,66,-21.21,-159.78,84.2,10.29
51,labrea,,,,,,,,
52,hobart,0,AU,1547519400,50,-42.88,147.33,75.2,14.99
53,vaini,0,IN,1547517600,51,15.34,74.49,62.6,5.82
54,san cristobal,75,EC,1547517600,100,-0.39,-78.55,55.4,3.36
55,port moresby,40,PG,1547517600,59,-9.47,147.16,89.6,11.41
56,marsh harbour,44,BS,1547521353,100,26.54,-77.06,73.69,8.19
57,belushya guba,,,,,,,,
58,iqaluit,90,CA,1547517600,64,63.75,-68.52,-0.41,8.05
59,jamestown,36,AU,1547521354,41,-33.21,138.6,98.53,6.62
60,karamea,,,,,,,,
61,davila,20,PH,1547517600,54,18.47,120.58,82.4,2.24
62,victoria,75,BN,1547519400,70,5.28,115.24,86,1.12
63,tiksi,36,RU,1547521355,76,71.64,128.87,-37.73,3.38
64,hobyo,92,SO,1547521355,84,5.35,48.53,75.49,16.02
65,bubaque,0,GW,1547521356,100,11.28,-15.83,77.74,6.17
66,nikolskoye,90,RU,1547519400,92,59.7,30.79,30.2,8.95
67,qazvin,0,IR,1547517600,100,36.28,50.01,30.2,2.24
68,flin flon,92,CA,1547521357,91,54.77,-101.88,6.82,4.83
69,grand river south east,,,,,,,,
70,khanu woralaksaburi,12,TH,1547521357,85,16.06,99.86,78.91,3.49
71,eureka,90,US,1547519700,100,40.8,-124.16,57.92,5.82
72,katsiveli,,,,,,,,
73,pavlodar,0,KZ,1547519400,79,52.28,76.96,19.4,11.18
74,goianesia,92,BR,1547521358,58,-15.32,-49.12,77.2,4.83
75,anadyr,90,RU,1547519400,76,64.73,177.51,-11.21,17.9
76,ye,,,,,,,,
77,mendahara,,,,,,,,
78,cidreira,32,BR,1547521359,95,-30.17,-50.22,75.94,2.59
79,muros,56,ES,1547519400,93,42.77,-9.06,41,3.36
80,fukue,75,JP,1547519400,100,35.03,136.69,48.2,3.36
81,iranshahr,0,IR,1547517600,91,27.21,60.69,55.4,4.7
82,talnakh,80,RU,1547521361,80,69.49,88.39,7.99,20.04
83,kopyevo,,,,,,,,
84,kimbe,12,PG,1547521361,98,-5.56,150.15,84.04,5.17
85,castro,20,CL,1547517600,81,-42.48,-73.76,51.8,4.7
86,kruisfontein,0,ZA,1547521362,94,-34,24.73,62.17,6.73
87,taolanaro,,,,,,,,
88,sao filipe,0,CV,1547521362,99,14.9,-24.5,71.71,14.67
89,gambo,0,NG,1547521363,46,11.96,9.63,53.08,7.07
90,saint-philippe,1,CA,1547519700,91,45.36,-73.48,15.8,8.19
91,butaritari,80,KI,1547521363,100,3.07,172.79,83.41,14.23
92,petropavlovsk-kamchatskiy,20,RU,1547519400,72,53.05,158.65,15.8,8.95
93,maceio,40,BR,1547517600,88,-9.67,-35.74,75.2,3.36
94,manacapuru,0,BR,1547517600,94,-3.3,-60.62,75.2,4.61
95,ous,0,RU,1547521365,66,60.91,61.52,-0.83,2.93
96,evanston,90,US,1547519700,89,42.04,-87.69,26.06,4.7
97,carnarvon,0,ZA,1547521365,49,-30.97,22.13,52.63,6.85
98,tuktoyaktuk,20,CA,1547517600,75,69.44,-133.03,-13.01,8.05
99,umm kaddadah,8,SD,1547521366,39,13.6,26.69,52.54,10.42
100,kinlochleven,92,GB,1547521366,96,56.71,-4.97,43.99,11.65
101,jalu,0,LY,1547521366,54,29.03,21.55,44.26,13.11
102,waipawa,92,NZ,1547521367,98,-39.94,176.59,60.19,16.24
103,namatanai,68,PG,1547521367,100,-3.66,152.44,82.51,10.98
104,luderitz,0,NA,1547521367,76,-26.65,15.16,60.37,10.31
105,hermanus,24,ZA,1547521368,95,-34.42,19.24,48.76,2.15
106,mahebourg,40,MU,1547517600,78,-20.41,57.7,78.8,3.36
107,amderma,,,,,,,,
108,kodiak,90,US,1547519700,100,39.95,-94.76,32,8.05
109,lagoa,0,PT,1547517600,81,37.14,-8.45,42.8,6.93
110,nicholasville,40,US,1547519700,78,37.88,-84.57,30.2,3.36
111,winnemucca,90,US,1547517360,50,40.97,-117.74,37.94,12.75
112,new norfolk,0,AU,1547519400,50,-42.78,147.06,75.2,14.99
113,kichera,48,RU,1547521370,79,55.93,110.1,-14.24,1.25
114,hibbing,1,US,1547519760,92,47.43,-92.94,12.2,2.93
115,alofi,40,NU,1547517600,62,-19.06,-169.92,87.8,12.75
116,thompson,90,CA,1547517600,76,55.74,-97.86,-5.81,8.05
117,bandarbeyla,76,SO,1547521064,100,9.49,50.81,75.67,15.35
118,cherskiy,24,RU,1547521372,49,68.75,161.3,-29.54,4.94
119,solnechnyy,76,RU,1547521372,77,50.72,136.64,-4.07,3.71
120,port blair,44,IN,1547521373,100,11.67,92.75,82.24,10.76
121,berbera,,,,,,,,
122,milingimbi,,,,,,,,
123,hilo,90,US,1547517180,64,19.71,-155.08,77,11.41
124,mar del plata,32,AR,1547521373,26,-46.43,-67.52,70.63,16.02
125,kalianget,40,ID,1547519400,62,-7.35,109.91,87.8,8.05
126,severo-kurilsk,68,RU,1547521067,100,50.68,156.12,28.33,10.42
127,annau,75,TM,1547517600,93,37.89,58.52,46.4,4.7
128,katherine,40,AU,1547519400,59,-14.47,132.26,89.6,8.05
129,grand gaube,40,MU,1547517600,78,-20.01,57.66,78.8,3.36
130,kvitok,0,RU,1547521375,58,56.08,98.48,-6.86,2.37
131,rocha,92,UY,1547521376,90,-34.48,-54.34,70.09,8.19
132,leningradskiy,20,RU,1547521376,88,69.38,178.42,-10.01,21.83
133,san patricio,0,PY,1547521376,79,-26.98,-56.83,80.17,4.83
134,amahai,36,ID,1547521376,100,-3.31,129,83.86,8.3
135,krasnoselkup,,,,,,,,
136,hay river,20,CA,1547517600,74,60.82,-115.79,-22.01,2.24
137,nizhneyansk,,,,,,,,
138,geraldton,20,CA,1547517600,84,49.72,-86.95,-0.41,3.38
139,plettenberg bay,0,ZA,1547521378,100,-34.05,23.37,64.87,6.17
140,yellowknife,40,CA,1547517600,74,62.45,-114.38,-22.01,6.93
141,tsihombe,,,,,,,,
142,byron bay,0,AU,1547519400,58,-28.65,153.62,89.6,12.75
143,marawi,8,PH,1547521379,49,8,124.29,83.14,2.93
144,padang,40,ID,1547517600,83,-0.92,100.36,80.6,1.12
145,san rafael,80,AR,1547521380,78,-34.61,-68.33,56.14,3.38
146,vila franca do campo,20,PT,1547519400,82,37.72,-25.43,57.2,3.36
147,souillac,90,FR,1547519400,86,45.6,-0.6,39.2,3.04
148,sentyabrskiy,,,,,,,,
149,arraial do cabo,8,BR,1547521381,84,-22.97,-42.02,77.47,17.69
150,roald,92,NO,1547518800,100,62.58,6.12,32,11.41
151,saint-paul,0,FR,1547519400,100,45.22,1.9,26.6,3.36
152,khormuj,,,,,,,,
153,clyde river,90,CA,1547520180,74,70.47,-68.59,-27.41,5.82
154,kloulklubed,75,PW,1547520600,62,7.04,134.26,86,14.99
155,ilulissat,12,GL,1547517000,57,69.22,-51.1,-11.21,6.93
156,bambanglipuro,8,ID,1547521383,83,-7.95,110.28,83.14,5.95
157,opotiki,24,NZ,1547521384,100,-38.01,177.29,65.41,6.73
158,sinnamary,88,GF,1547521384,100,5.38,-52.96,76.84,8.08
159,abong mbang,20,CM,1547521384,88,3.98,13.18,70.54,4.16
160,lavrentiya,92,RU,1547521385,96,65.58,-170.99,28.06,24.29
161,gloucester,90,GB,1547520600,93,51.87,-2.25,44.6,8.05
162,barentsburg,,,,,,,,
163,kamenskoye,,,,,,,,
164,sorong,20,ID,1547521386,100,-0.86,131.25,82.51,4.94
165,luwuk,92,ID,1547521386,100,-0.95,122.79,74.05,4.94
166,sitka,0,US,1547521386,75,37.17,-99.65,29.59,2.82
167,dhidhdhoo,80,MV,1547521351,100,6.88,73.1,81.97,7.07
168,konskie,88,PL,1547521387,90,51.19,20.41,27.34,24.29
169,longyearbyen,20,NO,1547517000,65,78.22,15.63,5,5.82
170,dongfeng,48,CN,1547521388,50,42.67,125.53,8.26,13.44
171,bredasdorp,88,ZA,1547517600,77,-34.53,20.04,64.4,3.36
172,quang ngai,8,VN,1547521388,83,15.12,108.8,72.34,2.71
173,novyy urengoy,76,RU,1547521388,77,66.08,76.63,12.76,3.27
174,puerto ayora,88,EC,1547521293,100,-0.74,-90.35,76.75,5.61
175,adrar,0,DZ,1547517600,44,27.87,-0.29,41,4.7
176,sand,88,DE,1547521389,96,48.9,12.67,30.13,14.67
177,iralaya,88,HN,1547521390,79,15,-83.23,79.81,10.54
178,baykit,64,RU,1547521390,78,61.68,96.39,-5.06,2.59
179,quatre cocos,40,MU,1547517600,78,-20.21,57.76,78.8,3.36
180,pantai remis,75,MY,1547517600,78,4.46,100.63,80.6,4.7
181,alyangula,0,AU,1547517600,55,-13.85,136.42,91.4,9.17
182,crab hill,,,,,,,,
183,adra,0,IN,1547521392,62,23.5,86.68,58.57,8.97
184,kindu,88,CD,1547521392,90,-2.95,25.92,72.34,2.15
185,pingdu,0,CN,1547517600,40,36.79,119.95,32,20.13
186,saryshagan,,,,,,,,
187,haradok,80,BY,1547521393,87,55.46,29.99,25.36,14.23
188,olga,90,US,1547520900,100,34.11,-118.17,55.94,5.82
189,norrtalje,75,SE,1547518800,63,59.76,18.7,28.4,19.46
190,kahului,0,US,1547519580,68,20.89,-156.47,80.96,3.36
191,ribeira grande,88,PT,1547521394,98,38.52,-28.7,61.54,5.39
192,meulaboh,68,ID,1547521394,100,4.14,96.13,78.64,4.38
193,asilah,,,,,,,,
194,dolbeau,,,,,,,,
195,sagua la grande,20,CU,1547517000,88,22.81,-80.07,66.2,2.24
196,back mountain,1,US,1547520840,70,41.34,-76,21.92,2.37
197,port elizabeth,1,US,1547517360,68,39.31,-74.98,28.04,4.7
198,sioux lookout,20,CA,1547517600,84,50.1,-91.92,10.4,2.24
199,richards bay,80,ZA,1547521396,98,-28.77,32.06,74.59,3.38
200,nsanje,64,MZ,1547521396,81,-16.92,35.26,76.39,2.71
201,ruatoria,,,,,,,,
202,bereda,90,ES,1547519400,100,43.27,-7.54,33.8,3.36
203,port lincoln,76,AU,1547521397,60,-34.72,135.86,79.81,7.52
204,pisco,0,PE,1547517600,88,-13.71,-76.2,71.6,14.99
205,caucaia,40,BR,1547517600,88,-3.73,-38.66,80.6,2.24
206,brigham city,1,US,1547520660,76,41.51,-112.02,19.04,3.36
207,freeport,0,BS,1547521398,100,26.54,-78.7,73.33,9.19
208,ambulu,56,ID,1547521398,100,-8.35,113.61,81.97,4.83
209,illoqqortoormiut,,,,,,,,
210,fortuna,0,ES,1547519400,70,38.18,-1.13,42.8,2.24
211,bambous virieux,40,MU,1547517600,78,-20.34,57.76,78.8,3.36
212,sao joao da barra,0,BR,1547521345,95,-21.64,-41.05,79.72,17.69
213,chokurdakh,56,RU,1547521400,44,70.62,147.9,-27.56,3.15
214,saint george,75,GR,1547520600,87,39.45,22.34,39.2,10.29
215,iguape,20,BR,1547521400,100,-24.7,-47.56,78.55,3.27
216,aklavik,20,CA,1547517600,68,68.22,-135.01,-18.41,6.93
217,kutum,8,SD,1547521401,78,14.2,24.66,47.86,5.17
218,galesong,40,ID,1547519400,100,-5.32,119.37,75.2,6.93
219,makakilo city,1,US,1547517420,58,21.35,-158.09,80.96,10.29
220,berlevag,20,NO,1547521402,100,70.86,29.09,17.44,5.95
221,ballyhaunis,88,IE,1547521402,98,53.76,-8.77,47.77,13.67
222,agadez,0,NE,1547521403,45,16.97,7.99,43.81,3.38
223,provideniya,90,RU,1547519400,100,64.42,-173.23,15.8,24.61
224,juliaca,90,PE,1547517600,71,-15.49,-70.13,50,11.41
225,bodden town,20,KY,1547517600,83,19.28,-81.25,78.8,9.17
226,eyl,92,SO,1547521404,100,7.98,49.82,71.71,14.56
227,korla,,,,,,,,
228,portland,1,US,1547517180,61,45.52,-122.67,46.04,13.87
229,vestmanna,44,FO,1547518800,75,62.16,-7.17,41,29.97
230,sehithwa,20,BW,1547521405,88,-20.47,22.7,68.74,3.49
231,grindavik,75,IS,1547519940,69,63.84,-22.43,37.4,24.16
232,tabou,8,CI,1547521406,100,4.42,-7.36,82.24,9.31
233,fare,76,PF,1547521406,98,-16.7,-151.02,83.59,17.81
234,neiafu,40,TO,1547517600,83,-18.65,-173.98,84.2,8.05
235,kapit,44,MY,1547521407,80,2.02,112.94,81.61,0.58
236,kaabong,0,UG,1547521408,78,3.51,34.14,52.36,2.15
237,garissa,56,KE,1547521408,76,-0.46,39.64,77.11,6.73
238,veraval,90,FR,1547519400,81,49.65,0.71,46.4,4.7
239,kavieng,68,PG,1547521409,100,-2.57,150.8,81.79,6.96
240,sterling,1,US,1547520840,100,39,-77.4,26.96,4.7
241,mayo,20,CA,1547517600,75,63.59,-135.9,-20.21,2.59
242,caravelas,92,BR,1547521410,100,-17.73,-39.27,80.71,11.88
243,karaton,40,ID,1547519400,74,-6.34,106.1,84.2,9.17
244,kochki,56,RU,1547521410,83,54.33,80.49,17.26,12.88
245,asau,,,,,,,,
246,college,1,US,1547517480,83,64.86,-147.8,5,2.59
247,tasiilaq,64,GL,1547517000,56,65.61,-37.64,14,12.75
248,saskylakh,0,RU,1547521411,0,71.97,114.09,-56.18,6.17
249,hasaki,90,JP,1547519400,61,35.73,140.83,46.4,1.12
250,chiang rai,40,TH,1547517600,93,19.9,99.84,66.2,3.36
251,codrington,0,AU,1547517600,43,-28.95,153.24,89.6,6.93
252,high level,20,CA,1547518500,76,58.52,-117.13,-5.81,12.75
253,tidore,,,,,,,,
254,tambura,,,,,,,,
255,adeje,0,NG,1547521413,95,5.68,5.76,74.14,5.39
256,makubetsu,75,JP,1547517600,78,42.84,143.34,15.8,4.83
257,rolim de moura,,,,,,,,
258,tumannyy,,,,,,,,
259,dwarka,75,IN,1547519400,87,28.58,77.04,42.8,5.82
260,walvis bay,88,NA,1547517600,82,-22.95,14.51,66.2,2.24
261,robinson,90,US,1547520780,74,39.01,-87.74,30.2,2.71
262,trincomalee,64,LK,1547521415,89,8.58,81.23,78.37,6.96
263,paamiut,88,GL,1547521416,100,61.99,-49.67,27.79,15.12
264,ati,0,TD,1547521416,25,13.21,18.34,60.46,8.97
265,coihaique,0,CL,1547517600,44,-45.58,-72.07,57.2,3.36
266,attawapiskat,,,,,,,,
267,zaysan,0,KZ,1547521417,58,47.47,84.87,-8.66,4.5
268,broken hill,0,AU,1547517600,9,-31.97,141.45,107.6,20.8
269,imbituba,75,BR,1547517600,83,-28.24,-48.67,80.6,10.29
270,oudtshoorn,32,ZA,1547517600,82,-33.59,22.2,64.4,2.24
271,abancay,88,PE,1547521418,81,-13.64,-72.88,46.33,1.59
272,mys shmidta,,,,,,,,
273,gizo,0,IL,1547520600,62,31.8,34.94,51.8,11.41
274,antofagasta,75,CL,1547517600,72,-23.65,-70.4,64.4,9.17
275,zapolyarnyy,20,RU,1547518800,85,69.43,30.82,10.4,5.82
276,bacalar,75,MX,1547516400,100,18.68,-88.39,71.6,9.75
277,lazaro cardenas,20,MX,1547516580,50,28.39,-105.62,51.8,4.7
278,bowen,64,AU,1547517600,61,-20.01,148.25,82.4,21.92
279,guantanamo,8,BO,1547521420,88,-16.14,-62.05,73.51,2.93
280,colares,0,PT,1547519400,87,38.8,-9.45,50,6.93
281,price,90,US,1547517180,81,39.6,-110.81,28.04,1.36
282,verkhnyaya inta,64,RU,1547521421,83,65.99,60.32,14.11,5.5
283,mount vernon,20,US,1547520780,44,40.91,-73.84,32,6.93
284,borogontsy,36,RU,1547521422,82,62.67,131.17,-39.26,3.71
285,kargasok,88,RU,1547521423,81,59.06,80.87,16.63,6.85
286,maldonado,90,UY,1547517600,88,-34.91,-54.96,71.6,6.93
287,nioro,0,GM,1547521423,33,13.79,-15.05,70.9,9.75
288,barrow,88,AR,1547521423,75,-38.31,-60.23,69.46,7.4
289,kreminna,88,UA,1547521424,95,49.05,38.22,33.55,14
290,mazyr,48,BY,1547521424,87,52.05,29.27,25.81,14.12
291,salalah,20,OM,1547517000,73,17.01,54.1,73.4,4.7
292,deputatskiy,48,RU,1547521425,63,69.3,139.9,-35.21,2.48
293,pacific grove,1,US,1547520840,86,36.62,-121.92,53.6,5.82
294,nuuk,56,GL,1547517000,78,64.17,-51.74,14,5.82
295,eenhana,56,NA,1547517600,47,-17.48,16.34,77,2.24
296,sakaraha,12,MG,1547521426,92,-22.91,44.53,68.2,3.38
297,san javier,0,ES,1547519400,93,37.81,-0.83,42.8,5.82
298,sibolga,32,ID,1547521426,95,1.74,98.78,74.32,2.15
299,comodoro rivadavia,0,AR,1547517600,14,-45.87,-67.48,77,11.41
300,mehamn,44,NO,1547521427,74,71.03,27.85,18.16,5.5
301,chuy,92,UY,1547521354,98,-33.69,-53.46,70.9,7.74
302,aykhal,0,RU,1547521427,0,65.95,111.51,-56.54,2.71
303,torbay,90,CA,1547517600,79,47.66,-52.73,24.8,8.05
304,cap malheureux,40,MU,1547517600,78,-19.98,57.61,78.8,3.36
305,esmeraldas,0,BR,1547517600,68,-19.76,-44.31,75.2,8.05
306,socorro,32,PH,1547521429,91,13.06,121.41,76.66,5.61
307,monrovia,20,LR,1547519400,94,6.33,-10.8,73.4,4.72
308,touros,40,BR,1547517600,88,-5.2,-35.46,78.8,4.7
309,rio gallegos,0,AR,1547517600,31,-51.62,-69.22,60.8,8.05
310,florianopolis,75,BR,1547517600,83,-27.6,-48.55,80.6,10.29
311,haines junction,56,CA,1547521430,79,60.75,-137.51,-10.46,2.26
312,marzuq,0,YE,1547521430,73,14.4,46.47,33.28,2.93
313,mount gambier,0,AU,1547517600,17,-37.83,140.78,91.4,11.41
314,cayenne,75,GF,1547519400,83,4.94,-52.33,78.8,5.84
315,pevek,56,RU,1547521431,100,69.7,170.27,-13.43,15.68
316,luanda,20,AO,1547517600,83,-8.83,13.24,77,2.71
317,salekhard,44,RU,1547521432,59,66.54,66.62,-6.95,5.61
318,maniitsoq,32,GL,1547521432,100,65.42,-52.9,2.23,5.39
319,bukoba,75,TZ,1547517600,78,-1.33,31.81,71.6,3.27
320,ambodifototra,,,,,,,,
321,daru,0,SL,1547521433,82,7.99,-10.85,68.02,2.59
322,dikson,76,RU,1547521433,100,73.51,80.55,10.24,18.81
323,lovozero,88,RU,1547521434,92,68.01,35.02,13.84,2.59
324,bermejo,92,AR,1547521434,97,-22.73,-64.34,70.99,2.26
325,isangel,80,VU,1547521434,100,-19.55,169.27,79.54,11.65
326,ancud,24,CL,1547517600,81,-41.87,-73.83,51.8,4.7
327,bend,90,US,1547520900,92,44.06,-121.32,28.4,4.7
328,narsaq,80,GL,1547517000,68,60.91,-46.05,28.4,1.12
329,taiyuan,0,CN,1547519400,18,37.86,112.56,17.6,17.9
330,khani,0,GE,1547519400,45,41.96,42.96,46.4,17.22
331,balkhash,100,KZ,1547521436,91,46.84,74.98,21.49,13.44
332,lewistown,90,US,1547520900,95,40.39,-90.15,28.04,10.29
333,meyungs,,,,,,,,
334,bose,0,IT,1547520600,55,45.46,8.01,41,3.36
335,beringovskiy,80,RU,1547521179,100,63.05,179.32,-3.53,30.89
336,yerbogachen,64,RU,1547521438,61,61.28,108.01,-13.61,2.04
337,smithers,75,CA,1547519940,100,54.78,-127.17,30.2,2.26
338,bilma,8,NE,1547521438,36,18.69,12.92,38.23,8.41
339,inuvik,20,CA,1547517600,68,68.36,-133.71,-18.41,6.93
340,ahipara,88,NZ,1547521439,78,-35.17,173.16,68.56,18.92
341,wanning,75,AT,1547520600,74,48.64,13.53,33.8,21.92
342,bandundu,88,CD,1547521440,98,-3.32,17.38,71.62,2.82
343,cabo san lucas,90,MX,1547517180,82,22.89,-109.91,66.2,6.93
344,sao gabriel da cachoeira,12,BR,1547521228,94,-0.13,-67.09,74.86,2.15
345,port shepstone,92,ZA,1547521440,99,-30.74,30.45,73.51,3.38
346,sechelt,5,CA,1547519820,100,49.47,-123.76,37.4,2.24
347,omis,0,HR,1547519400,60,43.44,16.69,41,8.05
348,vila velha,40,BR,1547517600,88,-3.71,-38.6,80.6,2.24
349,petauke,76,ZM,1547521441,79,-14.25,31.33,70,6.4
350,tongliao,0,CN,1547521442,25,43.61,122.27,12.22,17.69
351,solsvik,,,,,,,,
352,mount pleasant,90,US,1547519700,79,33.16,-94.97,36.5,2.59
353,la palma,80,CO,1547521444,99,5.36,-74.39,64.87,2.26
354,ulaanbaatar,0,MN,1547519400,75,47.92,106.92,-16.61,2.24
355,bengkulu,,,,,,,,
356,pangnirtung,64,CA,1547521445,66,66.15,-65.72,-15.14,4.38
357,cockburn town,44,TC,1547521445,100,21.46,-71.14,78.46,9.86
358,dauphin,75,CA,1547517600,89,51.15,-100.04,32,20.8
359,tezu,36,IN,1547521446,74,27.93,96.16,52.09,1.03
360,leh,8,IN,1547521446,46,34.16,77.58,-38.09,0.69
361,kikwit,92,CD,1547521446,97,-5.04,18.82,69.19,2.71
362,parati,0,BR,1547517600,73,-20.51,-54.63,77,3.36
363,mpulungu,92,ZM,1547521447,97,-8.77,31.12,64.33,1.25
364,aitape,44,PG,1547521447,82,-3.15,142.36,84.76,11.77
365,muzhi,0,RU,1547521448,55,65.4,64.7,-11.36,3.15
366,pyinmana,0,MM,1547521448,67,19.74,96.21,73.06,2.93
367,ostrovnoy,56,RU,1547521448,77,68.05,39.51,10.33,3.15
368,atagay,0,RU,1547521449,55,55.1,99.39,-5.87,2.93
369,kachiry,76,KZ,1547521449,83,53.07,76.1,17.44,9.64
370,quezon,36,PH,1547521449,66,16.49,121.26,75.49,2.71
371,beira,90,ES,1547519400,100,43.2,-8.36,39.2,3.36
372,itoman,75,JP,1547519400,53,26.12,127.67,71.96,2.24
373,bethel,90,US,1547517360,69,60.79,-161.76,39.02,20.8
374,lata,0,IN,1547521451,83,30.78,78.62,24.73,1.59
375,qaqortoq,88,GL,1547517000,68,60.72,-46.03,28.4,1.12
376,toora-khem,0,RU,1547521452,55,52.47,96.11,-21.71,1.81
377,miraflores,68,CO,1547521452,100,5.2,-73.14,49.3,0.81
378,kampene,92,CD,1547521453,98,-3.59,26.67,69.37,2.26
379,saint-michel-des-saints,76,CA,1547521453,80,46.68,-73.92,11.14,5.39
380,beloha,48,MG,1547521453,84,-25.17,45.06,75.67,3.27
381,kerema,20,PG,1547521454,64,-7.96,145.78,86.83,3.27
382,skalistyy,,,,,,,,
383,rio grande,80,BR,1547521252,98,-32.03,-52.1,75.13,4.16
384,ca mau,20,VN,1547521454,82,9.18,105.15,84.13,5.95
385,nakamura,75,JP,1547519400,75,35.17,136.87,48.2,3.36
386,paradwip,,,,,,,,
387,tautira,75,PF,1547519400,70,-17.73,-149.15,86,13.87
388,esperance,20,TT,1547517600,83,10.24,-61.45,73.4,5.39
389,riyadh,0,SA,1547517600,58,24.63,46.72,55.4,5.82
390,puerto del rosario,0,ES,1547519400,63,28.5,-13.86,64.4,12.75
391,vao,56,EE,1547521456,86,59.1,26.19,24.1,6.96
392,buzdyak,64,RU,1547521457,84,54.57,54.53,8.98,7.52
393,olafsvik,,,,,,,,
394,saint anthony,1,US,1547517360,79,43.97,-111.68,10.04,4.7
395,santa maria,75,BR,1547517600,88,-29.69,-53.81,77,4.7
396,poum,8,MK,1547521459,82,41.28,20.71,18.52,3.27
397,saleaula,,,,,,,,
398,bila krynytsya,80,UA,1547519400,73,50.64,29.47,26.6,11.18
399,port macquarie,0,AU,1547517600,49,-31.43,152.91,89.6,14.99
400,samusu,,,,,,,,
401,mogadishu,56,SO,1547521317,100,2.04,45.34,78.82,20.27
402,luganville,8,VU,1547521460,98,-15.51,167.18,84.67,5.95
403,palabuhanratu,,,,,,,,
404,natal,40,BR,1547517600,78,-5.81,-35.21,80.6,8.05
405,ajdabiya,48,LY,1547521461,68,30.75,20.22,55.51,17.81
406,tazovskiy,80,RU,1547521461,81,67.47,78.7,11.77,3.15
407,jiangyou,44,CN,1547521462,53,31.78,104.73,43.27,8.52
408,vestmannaeyjar,36,IS,1547521462,100,63.44,-20.27,36.79,11.88
409,the valley,20,AI,1547517600,73,18.22,-63.06,75.2,8.05
410,etampes,90,FR,1547519400,81,48.43,2.15,42.8,3.36
411,turukhansk,88,RU,1547521463,78,65.8,87.96,12.49,17.81
412,moses lake,90,US,1547517180,81,47.13,-119.28,30.02,6.93
413,abu samrah,80,SY,1547521463,93,35.3,37.18,43.81,11.43
